name,goals,xg_total,shots,xa_total,minutes
Mbappe,10,6.87,41,1.6,698
Messi,8,5.31,35,4.2,740
Haaland,7,4.43,20,0.3,465
Vinicius,4,4.04,17,1.3,441
Oyarzabal,5,4.0,23,0.7,605
Sarr,4,3.69,17,0.3,366
Kane,6,3.55,23,1.0,653
Ronaldo,3,3.3,18,0.1,441
Bellingham,7,3.06,19,1.0,616
Embolo,2,3.04,10,1.2,506
J. David,3,3.04,18,0.3,421
Olise,0,2.49,20,3.3,650
Dembele,6,2.06,20,2.3,597
Yamal,1,1.74,27,1.5,615
Trossard,2,1.75,17,2.2,510
Pedri,0,0.47,5,2.2,600
Wirtz,0,0.97,10,1.7,363
Madueke,0,0.61,6,1.6,364
Olmo,0,1.16,13,1.3,499
B. Fernandes,1,0.95,9,1.3,620
