name,min,cc,cross,tb,f3,cc_90,cross_90,tb_90,f3_90
De Bruyne,387,15,10,4,111,3.488372093023256,2.325581395348837,0.9302325581395349,25.813953488372093
Messi,740,25,20,15,198,3.040540540540541,2.4324324324324325,1.8243243243243243,24.08108108108108
Trossard,510,17,7,5,108,3.0,1.2352941176470589,0.8823529411764706,19.058823529411764
Wirtz,363,12,11,2,141,2.975206611570248,2.7272727272727275,0.49586776859504134,34.95867768595041
Rice,468,15,7,0,79,2.884615384615384,1.3461538461538463,0.0,15.192307692307693
Hakimi,570,17,10,1,118,2.6842105263157894,1.5789473684210527,0.15789473684210525,18.63157894736842
Dembele,552,16,19,4,149,2.608695652173913,3.097826086956522,0.6521739130434783,24.293478260869563
Pedri,499,13,1,9,227,2.344689378757515,0.18036072144288576,1.623246492985972,40.941883767535074
Olise,560,14,4,15,176,2.25,0.6428571428571428,2.4107142857142856,28.285714285714285
Kimmich,353,8,11,2,121,2.039660056657224,2.8045325779036827,0.509915014164306,30.84985835694051
