name,team,G,A,CC,xA,shots,drib,cross,bcc,GA,min,xa_p90,ga_p90,eff_score,vol_score,combined,G90,A90,CC90,xA90,sh90,cr90,dr90,rating,shots_f,drib_tot,rating_tot,eff_rank_score,vol_rank_score
Lionel Messi,ARG,8,4,25,4.15,35.0,3.4,20,8,12,740,0.5047297297297298,1.4594594594594597,3.452148138069256,10.759502164688614,5.506420046468679,0.972972972972973,0.4864864864864865,3.040540540540541,0.5047297297297298,4.256756756756757,2.4324324324324325,3.4,5.331442581214369,35.0,27.95555555555556,9.10903609157482,3.541829257850128,6.557203413303847
Kylian Mbappe,FRA,10,3,16,0.91,41.0,2.1,5,2,13,608,0.13470394736842106,1.924342105263158,1.38708029624191,6.330274433218445,2.738046324488176,1.4802631578947367,0.444078947368421,2.3684210526315788,0.134703947368421,6.069078947368421,0.7401315789473684,2.1,3.361642302454758,41.0,14.186666666666666,4.2805820725718124,1.423114356548062,5.8482023372725225
Ousmane Dembele,FRA,6,2,16,1.7,20.0,1.1,19,5,8,552,0.2771739130434782,1.3043478260869565,1.2331944160918673,3.1602004305926483,1.7880928777010785,0.9782608695652174,0.3260869565217391,2.608695652173913,0.2771739130434782,3.260869565217392,3.097826086956522,1.1,1.875559633793324,20.0,6.746666666666667,2.026167765646401,1.2652307748225478,1.8837907435641428
Michael Olise,FRA,0,5,14,2.46,20.0,2.2,4,7,5,560,0.39535714285714285,0.8035714285714285,1.134652219169205,1.7397447931618282,1.3393871218634126,0.0,0.8035714285714285,2.25,0.3953571428571428,3.214285714285714,0.6428571428571428,2.2,1.5611346872885168,20.0,13.688888888888888,1.9901976276059696,1.164128614012984,0.5763849129338843
Leandro Trossard,BEL,2,2,17,2.17,17.0,1.8,7,3,4,510,0.38294117647058823,0.7058823529411764,0.8215757271316796,0.5401492581732146,0.7814026396047801,0.3529411764705882,0.3529411764705882,3.0,0.3829411764705882,3.0,1.2352941176470589,1.8,1.3647060736776504,17.0,10.2,0.9025381088172434,0.8429189106357228,0.49142444031707044
Achraf Hakimi,MAR,1,2,17,1.0,14.0,1.6,10,3,3,570,0.15789473684210525,0.47368421052631576,-1.5424719146809034,0.1498620278250117,-1.1622634471980564,0.1578947368421052,0.3157894736842105,2.6842105263157894,0.1578947368421052,2.210526315789474,1.5789473684210529,1.6,-1.2899100848516805,14.0,10.133333333333333,-0.6439758789057599,-1.5825427931619458,-0.1632618465131418
Mohamed Salah,EGY,3,2,16,0.78,,1.7,6,1,5,428,0.16401869158878507,1.0514018691588785,-0.2485463446994499,0.5931487061278461,-0.0382884990665817,0.6308411214953271,0.4205607476635514,3.364485981308411,0.164018691588785,2.9902315546637936,1.2616822429906542,1.7,0.9023076840170696,18.333333333333332,8.084444444444445,-0.2830203612479552,-0.25500316915153026,0.764263189199117
Declan Rice,ENG,1,1,15,0.92,6.0,0.8,7,3,2,468,0.17692307692307693,0.38461538461538464,-1.576500539849066,-2.9842301268612546,-2.00943251626724,0.1923076923076923,0.1923076923076923,2.884615384615384,0.1769230769230769,1.1538461538461535,1.3461538461538465,0.8,-2.107295384147052,6.0,4.16,-2.328174991827251,-1.6174554259357006,-1.7735821424500515
Pedri,ESP,0,0,13,2.18,5.0,0.7,1,2,0,499,0.393186372745491,0.0,-0.612538815851791,-5.490809406492655,-1.9149050161768848,0.0,0.0,2.344689378757515,0.393186372745491,0.9018036072144288,0.1803607214428857,0.7,-2.3641058364598564,5.0,3.881111111111111,-2.445831672906657,-0.6284515648758122,-2.8869551259549766
Jude Bellingham,ENG,7,1,8,1.0,19.0,2.6,8,3,8,605,0.1487603305785124,1.1900826446280992,-0.0765255350800028,0.8475434808274014,0.1623200171786001,1.0413223140495866,0.1487603305785124,1.1900826446280992,0.1487603305785124,2.826446280991736,1.1900826446280992,2.6,-0.4004206735259331,19.0,17.477777777777778,0.416783043519133,-0.0785135423738158,0.24935854573552726
Harry Kane,ENG,6,1,5,1.05,23.0,0.3,1,1,7,653,0.1447166921898928,0.9647779479326186,-0.5948585108384162,-2.633398765104181,-1.1529195326528023,0.8269525267993875,0.1378254211332312,0.6891271056661562,0.1447166921898928,3.1699846860643186,0.1378254211332312,0.3,-2.1531447854421306,23.0,2.1766666666666667,-0.9847370923442478,-0.610311954673827,-0.16891003582454545
Erling Haaland,NOR,7,0,6,0.29,20.0,0.2,1,1,7,465,0.05612903225806451,1.3548387096774195,-0.489383366466052,-3.269045744923769,-1.2372041862086318,1.3548387096774197,0.0,1.1612903225806452,0.0561290322580645,3.870967741935484,0.1935483870967742,0.2,-1.3651985634562205,20.0,1.0333333333333334,-2.0210337447783844,-0.5020967398647249,-0.3244915108654051
Lamine Yamal,ESP,1,0,7,1.46,27.0,4.0,24,2,1,615,0.21365853658536585,0.14634146341463414,-1.784910734667282,2.493611212430071,-0.7373994778324104,0.1463414634146341,0.0,1.024390243902439,0.2136585365853658,3.951219512195122,3.5121951219512195,4.0,-1.0079540873670891,27.0,27.33333333333333,-0.3095194553762312,-1.83127977417304,-1.183616628953387
Mikel Oyarzabal,ESP,5,1,6,0.71,23.0,0.3,3,1,6,605,0.10561983471074379,0.8925619834710744,-1.074155130464063,-2.47558628433886,-1.484943274804305,0.743801652892562,0.1487603305785124,0.8925619834710744,0.1056198347107437,3.421487603305785,0.4462809917355372,0.3,-2.2515408288723098,23.0,2.0166666666666666,-1.4790021331613108,-1.102059910637333,-0.28819763813829935
Vinicius Junior,BRA,4,1,9,1.26,17.0,3.3,12,2,5,441,0.2571428571428571,1.0204081632653061,0.4562381775436562,1.041020655526626,0.6279770794924646,0.8163265306122449,0.2040816326530612,1.8367346938775508,0.2571428571428571,3.4693877551020407,2.4489795918367347,3.3,1.2461192485170305,17.0,16.169999999999998,-0.2777996735469519,0.46809049355457444,-0.7186481905337723
Bruno Guimaraes,BRA,1,4,10,1.13,,0.4,7,3,5,419,0.24272076372315035,1.0739856801909307,0.4520530569284489,-0.7119824604496936,0.1656929321496036,0.2147971360381861,0.8591885441527447,2.1479713603818613,0.2427207637231503,2.9902315546637936,1.503579952267303,0.4,0.4941602013386462,18.333333333333332,1.8622222222222224,-0.5506129890808008,0.4637966504025064,-0.37518843922767986
Florian Wirtz,GER,0,3,12,1.7,10.0,2.7,11,2,3,363,0.4214876033057851,0.743801652892562,1.222509264579356,0.2819967250541615,1.0261115851194145,0.0,0.743801652892562,2.975206611570248,0.4214876033057851,2.479338842975207,2.7272727272727275,2.7,2.3242105076844664,10.0,10.89,-0.5139587157699083,1.2542680406819613,-1.5734583099070178
Dani Olmo,ESP,0,2,10,1.29,13.0,1.5,1,3,2,495,0.23454545454545456,0.36363636363636365,-1.1442772118181246,-3.006886462927272,-1.6786857441211749,0.0,0.3636363636363636,1.8181818181818183,0.2345454545454545,2.363636363636364,0.1818181818181818,1.5,-1.825481307231449,13.0,8.25,-1.924011226746986,-1.1740036481097542,-1.916981646655511
Breel Embolo,SUI,2,2,8,1.18,10.0,0.7,1,3,4,506,0.20988142292490117,0.7114624505928854,-0.6001166116258388,-3.764283996304167,-1.4531378037329885,0.3557312252964427,0.3557312252964427,1.4229249011857708,0.2098814229249011,1.7786561264822134,0.1778656126482213,0.7,-2.07417627743954,10.0,3.9355555555555553,-1.988470104433128,-0.6157066522548045,-2.023896521806663
Cody Gakpo,NED,3,1,3,0.68,10.0,0.7,11,1,4,371,0.16495956873315365,0.9703504043126685,-0.4151665797143959,-3.600830640224016,-1.2662711260051325,0.7277628032345014,0.2425876010781671,0.7277628032345014,0.1649595687331536,2.425876010781672,2.6684636118598384,0.7,-1.6220550911925875,10.0,2.8855555555555554,-2.975156669609804,-0.4259519232962058,-2.97343954549566
