name,team,G,A,CC,xA,shots,drib,cross,bcc,GA
Lionel Messi,ARG,8,4,25,4.15,35.0,3.4,20,8,12
Kylian Mbappe,FRA,10,3,16,0.91,41.0,2.1,5,2,13
Ousmane Dembele,FRA,6,2,16,1.7,20.0,1.1,19,5,8
Michael Olise,FRA,0,5,14,2.46,20.0,2.2,4,7,5
Leandro Trossard,BEL,2,2,17,2.17,17.0,1.8,7,3,4
Achraf Hakimi,MAR,1,2,17,1.0,14.0,1.6,10,3,3
Mohamed Salah,EGY,3,2,16,0.78,,1.7,6,1,5
Declan Rice,ENG,1,1,15,0.92,6.0,0.8,7,3,2
Pedri,ESP,0,0,13,2.18,5.0,0.7,1,2,0
Jude Bellingham,ENG,7,1,8,1.0,19.0,2.6,8,3,8
Harry Kane,ENG,6,1,5,1.05,23.0,0.3,1,1,7
Erling Haaland,NOR,7,0,6,0.29,20.0,0.2,1,1,7
Lamine Yamal,ESP,1,0,7,1.46,27.0,4.0,24,2,1
Mikel Oyarzabal,ESP,5,1,6,0.71,23.0,0.3,3,1,6
Vinicius Junior,BRA,4,1,9,1.26,17.0,3.3,12,2,5
Bruno Guimaraes,BRA,1,4,10,1.13,,0.4,7,3,5
Florian Wirtz,GER,0,3,12,1.7,10.0,2.7,11,2,3
Dani Olmo,ESP,0,2,10,1.29,13.0,1.5,1,3,2
Breel Embolo,SUI,2,2,8,1.18,10.0,0.7,1,3,4
Cody Gakpo,NED,3,1,3,0.68,10.0,0.7,11,1,4
